,Ship Mode,Segment,City,State,Postal Code,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,Sales_pu,Profit_pu
38,Standard Class,Home Office,Houston,Texas,77041,Central,Furniture,Bookcases,532.3992,3,0.32,-46.9764,177.4664,-15.6588
39,Standard Class,Home Office,Houston,Texas,77041,Central,Furniture,Chairs,212.058,3,0.3,-15.147,70.68599999999999,-5.049
40,Standard Class,Home Office,Houston,Texas,77041,Central,Technology,Phones,371.168,4,0.2,41.7564,92.792,10.4391
41,Standard Class,Corporate,Naperville,Illinois,60540,Central,Technology,Phones,147.168,4,0.2,16.5564,36.792,4.1391
42,Standard Class,Corporate,Los Angeles,California,90049,West,Office Supplies,Storage,77.88,2,0.0,3.8939999999999997,38.94,1.9469999999999998
43,Standard Class,Corporate,Melbourne,Florida,32935,South,Office Supplies,Storage,95.616,2,0.2,9.5616,47.808,4.7808
44,First Class,Corporate,Eagan,Minnesota,55122,Central,Technology,Accessories,45.98,2,0.0,19.7714,22.99,9.8857
45,First Class,Corporate,Eagan,Minnesota,55122,Central,Office Supplies,Binders,17.46,2,0.0,8.2062,8.73,4.1031
46,Second Class,Consumer,Westland,Michigan,48185,Central,Office Supplies,Storage,211.96,4,0.0,8.4784,52.99,2.1196
47,Standard Class,Consumer,Dover,Delaware,19901,East,Technology,Accessories,45.0,3,0.0,4.95,15.0,1.6500000000000001
48,Standard Class,Consumer,Dover,Delaware,19901,East,Technology,Phones,21.8,2,0.0,6.104,10.9,3.052
49,Standard Class,Consumer,New Albany,Indiana,47150,Central,Office Supplies,Binders,38.22,6,0.0,17.9634,6.37,2.9939
50,Standard Class,Consumer,New Albany,Indiana,47150,Central,Office Supplies,Labels,75.18,6,0.0,35.3346,12.530000000000001,5.8891
51,Standard Class,Consumer,New Albany,Indiana,47150,Central,Furniture,Furnishings,6.16,2,0.0,2.9568,3.08,1.4784
52,Standard Class,Consumer,New Albany,Indiana,47150,Central,Furniture,Chairs,89.99,1,0.0,17.0981,89.99,17.0981
53,Standard Class,Corporate,New York City,New York,10024,East,Office Supplies,Fasteners,15.26,7,0.0,6.2566,2.18,0.8937999999999999
54,Standard Class,Corporate,New York City,New York,10024,East,Technology,Phones,1029.95,5,0.0,298.6855,205.99,59.7371
55,First Class,Consumer,Troy,New York,12180,East,Office Supplies,Storage,208.56,6,0.0,52.14,34.76,8.69
56,First Class,Consumer,Troy,New York,12180,East,Office Supplies,Paper,32.4,5,0.0,15.552,6.4799999999999995,3.1104
57,First Class,Consumer,Troy,New York,12180,East,Furniture,Chairs,319.41,5,0.1,7.098,63.882000000000005,1.4196
58,First Class,Consumer,Troy,New York,12180,East,Office Supplies,Paper,14.56,2,0.0,6.9888,7.28,3.4944
59,First Class,Consumer,Troy,New York,12180,East,Technology,Accessories,30.0,2,0.0,3.3,15.0,1.65
60,First Class,Consumer,Troy,New York,12180,East,Office Supplies,Binders,48.48,4,0.2,16.362000000000002,12.12,4.0905000000000005
61,First Class,Consumer,Troy,New York,12180,East,Office Supplies,Art,1.68,1,0.0,0.84,1.68,0.84
62,Standard Class,Consumer,Los Angeles,California,90004,West,Technology,Accessories,13.98,2,0.0,6.1512,6.99,3.0756
63,Standard Class,Consumer,Los Angeles,California,90004,West,Office Supplies,Binders,25.824,6,0.2,9.3612,4.304,1.5602
64,Standard Class,Consumer,Los Angeles,California,90004,West,Office Supplies,Paper,146.73,3,0.0,68.9631,48.91,22.9877
65,Standard Class,Consumer,Los Angeles,California,90004,West,Furniture,Furnishings,79.76,4,0.0,22.3328,19.94,5.5832
66,Standard Class,Home Office,Chicago,Illinois,60610,Central,Furniture,Chairs,213.115,5,0.3,-15.2225,42.623000000000005,-3.0445
67,Standard Class,Corporate,Gilbert,Arizona,85234,West,Office Supplies,Art,1113.024,8,0.2,111.3024,139.128,13.9128
68,Standard Class,Corporate,Gilbert,Arizona,85234,West,Technology,Phones,167.968,4,0.2,62.988,41.992,15.747
69,First Class,Consumer,Springfield,Virginia,22153,South,Office Supplies,Paper,75.88,2,0.0,35.6636,37.94,17.8318
70,Standard Class,Consumer,New York City,New York,10009,East,Office Supplies,Binders,4.6160000000000005,1,0.2,1.7309999999999999,4.6160000000000005,1.7309999999999999
71,Second Class,Consumer,Jackson,Michigan,49201,Central,Office Supplies,Paper,19.05,3,0.0,8.763,6.3500000000000005,2.921
72,Standard Class,Consumer,Memphis,Tennessee,38109,South,Furniture,Chairs,831.936,8,0.2,-114.3912,103.992,-14.2989
73,Standard Class,Consumer,Memphis,Tennessee,38109,South,Furniture,Furnishings,97.04,2,0.2,1.213,48.52,0.6065
74,Standard Class,Consumer,Memphis,Tennessee,38109,South,Office Supplies,Storage,72.78399999999999,1,0.2,-18.195999999999998,72.78399999999999,-18.195999999999998
75,First Class,Corporate,Houston,Texas,77041,Central,Office Supplies,Binders,1.248,3,0.8,-1.9344,0.416,-0.6447999999999999
76,First Class,Corporate,Houston,Texas,77041,Central,Furniture,Furnishings,9.708,3,0.6,-5.8248,3.236,-1.9416
77,First Class,Corporate,Houston,Texas,77041,Central,Office Supplies,Storage,27.24,3,0.2,2.7239999999999998,9.08,0.9079999999999999
78,Second Class,Consumer,Houston,Texas,77070,Central,Furniture,Furnishings,19.3,5,0.6,-14.475,3.8600000000000003,-2.895
79,First Class,Corporate,Decatur,Alabama,35601,South,Office Supplies,Appliances,208.16,1,0.0,56.2032,208.16,56.2032
80,First Class,Corporate,Decatur,Alabama,35601,South,Office Supplies,Binders,16.74,3,0.0,8.0352,5.579999999999999,2.6784
81,Standard Class,Consumer,San Francisco,California,94122,West,Office Supplies,Art,14.9,5,0.0,4.172,2.98,0.8343999999999999
82,Standard Class,Consumer,San Francisco,California,94122,West,Office Supplies,Storage,21.39,1,0.0,6.2031,21.39,6.2031
83,Standard Class,Corporate,Durham,North Carolina,27707,South,Office Supplies,Envelopes,200.984,7,0.2,62.8075,28.712,8.9725
84,First Class,Home Office,Chicago,Illinois,60623,Central,Office Supplies,Storage,230.37599999999998,3,0.2,-48.9549,76.79199999999999,-16.3183
85,Second Class,Consumer,Columbia,South Carolina,29203,South,Furniture,Chairs,301.96,2,0.0,33.2156,150.98,16.6078
86,Standard Class,Consumer,Rochester,Minnesota,55901,Central,Technology,Accessories,19.99,1,0.0,6.7966,19.99,6.7966
87,Standard Class,Consumer,Rochester,Minnesota,55901,Central,Office Supplies,Labels,6.16,2,0.0,2.9568,3.08,1.4784
88,Second Class,Home Office,Houston,Texas,77095,Central,Office Supplies,Storage,158.368,7,0.2,13.8572,22.624,1.9796
89,Standard Class,Corporate,Los Angeles,California,90036,West,Office Supplies,Art,20.1,3,0.0,6.632999999999999,6.7,2.211
90,Standard Class,Corporate,Los Angeles,California,90036,West,Technology,Phones,73.584,2,0.2,8.2782,36.792,4.1391
91,Standard Class,Corporate,Los Angeles,California,90036,West,Office Supplies,Paper,6.48,1,0.0,3.1104,6.48,3.1104
92,Second Class,Consumer,Minneapolis,Minnesota,55407,Central,Office Supplies,Paper,12.96,2,0.0,6.2208,6.48,3.1104
93,Second Class,Consumer,Minneapolis,Minnesota,55407,Central,Furniture,Furnishings,53.34,3,0.0,16.5354,17.78,5.5118
94,Second Class,Consumer,Minneapolis,Minnesota,55407,Central,Office Supplies,Binders,32.96,2,0.0,16.1504,16.48,8.0752
95,Standard Class,Home Office,Portland,Oregon,97206,West,Office Supplies,Binders,5.682,1,0.7,-3.7880000000000003,5.682,-3.7880000000000003
96,Second Class,Home Office,New York City,New York,10009,East,Furniture,Furnishings,96.53,7,0.0,40.5426,13.790000000000001,5.7918
97,First Class,Consumer,San Francisco,California,94122,West,Office Supplies,Binders,51.312,3,0.2,17.9592,17.104,5.9864
98,Standard Class,Corporate,Saint Paul,Minnesota,55106,Central,Office Supplies,Appliances,77.88,6,0.0,22.5852,12.979999999999999,3.7642
99,Standard Class,Home Office,Chicago,Illinois,60610,Central,Office Supplies,Paper,64.624,7,0.2,22.6184,9.232,3.2312000000000003
100,Standard Class,Home Office,Chicago,Illinois,60610,Central,Technology,Accessories,95.976,3,0.2,-10.7973,31.992,-3.5991
101,Standard Class,Home Office,Chicago,Illinois,60610,Central,Office Supplies,Binders,1.788,3,0.8,-3.0396,0.596,-1.0132
102,Second Class,Consumer,Rochester,Minnesota,55901,Central,Office Supplies,Paper,23.92,4,0.0,11.7208,5.98,2.9302
103,Standard Class,Consumer,Aurora,Colorado,80013,West,Technology,Accessories,238.896,6,0.2,-26.8758,39.815999999999995,-4.4793
104,Standard Class,Consumer,Aurora,Colorado,80013,West,Furniture,Furnishings,102.36,3,0.2,-3.8385,34.12,-1.2794999999999999
105,Standard Class,Consumer,Aurora,Colorado,80013,West,Office Supplies,Binders,36.882,3,0.7,-25.8174,12.293999999999999,-8.6058
106,Standard Class,Consumer,Charlotte,North Carolina,28205,South,Technology,Accessories,74.112,8,0.2,17.6016,9.264,2.2002
107,Standard Class,Consumer,Charlotte,North Carolina,28205,South,Technology,Phones,27.991999999999997,1,0.2,2.0994,27.991999999999997,2.0994
108,Standard Class,Consumer,Charlotte,North Carolina,28205,South,Office Supplies,Art,3.304,1,0.2,1.0738,3.304,1.0738
109,Standard Class,Home Office,Orland Park,Illinois,60462,Central,Technology,Accessories,339.96,5,0.2,67.992,67.99199999999999,13.598400000000002
110,Standard Class,Corporate,New York City,New York,10035,East,Furniture,Furnishings,41.96,2,0.0,10.9096,20.98,5.4548
111,Standard Class,Consumer,Urbandale,Iowa,50322,Central,Office Supplies,Art,75.96,2,0.0,22.788,37.98,11.394
112,Standard Class,Consumer,Urbandale,Iowa,50322,Central,Office Supplies,Binders,27.24,6,0.0,13.3476,4.54,2.2246
113,Second Class,Consumer,Columbus,Ohio,43229,East,Office Supplies,Fasteners,40.096,14,0.2,14.5348,2.864,1.0382
114,Second Class,Consumer,Columbus,Ohio,43229,East,Office Supplies,Envelopes,4.72,2,0.2,1.652,2.36,0.826
115,Second Class,Consumer,Columbus,Ohio,43229,East,Office Supplies,Paper,23.976,3,0.2,7.4925,7.992,2.4975
116,Second Class,Consumer,Columbus,Ohio,43229,East,Office Supplies,Envelopes,130.464,6,0.2,44.0316,21.744,7.3386
117,Standard Class,Consumer,Seattle,Washington,98103,West,Furniture,Tables,787.53,3,0.0,165.3813,262.51,55.127100000000006
118,Standard Class,Corporate,Bristol,Tennessee,37620,South,Office Supplies,Binders,157.79399999999998,1,0.7,-115.7156,157.79399999999998,-115.7156
119,First Class,Consumer,Wilmington,Delaware,19805,East,Furniture,Furnishings,47.04,3,0.0,18.3456,15.68,6.115200000000001
120,First Class,Consumer,Wilmington,Delaware,19805,East,Office Supplies,Binders,30.84,4,0.0,13.878,7.71,3.4695
121,First Class,Consumer,Wilmington,Delaware,19805,East,Office Supplies,Storage,226.56,6,0.0,63.4368,37.76,10.572799999999999
122,First Class,Consumer,Wilmington,Delaware,19805,East,Office Supplies,Envelopes,115.02,9,0.0,51.75899999999999,12.78,5.7509999999999994
123,First Class,Consumer,Wilmington,Delaware,19805,East,Technology,Phones,68.04,7,0.0,19.7316,9.72,2.8188
124,Second Class,Home Office,Houston,Texas,77041,Central,Furniture,Chairs,600.558,3,0.3,-8.5794,200.186,-2.8598
125,Standard Class,Consumer,Bloomington,Illinois,61701,Central,Furniture,Tables,617.7,6,0.5,-407.68199999999996,102.95,-67.94699999999999
126,Standard Class,Consumer,Phoenix,Arizona,85023,West,Office Supplies,Binders,2.388,2,0.7,-1.8308,1.194,-0.9154
127,Standard Class,Consumer,Phoenix,Arizona,85023,West,Office Supplies,Storage,243.99200000000002,7,0.2,30.499000000000002,34.856,4.357
128,Second Class,Home Office,Los Angeles,California,90004,West,Furniture,Chairs,81.42399999999999,2,0.2,-9.1602,40.711999999999996,-4.5801
129,Second Class,Home Office,Los Angeles,California,90004,West,Furniture,Furnishings,238.56,3,0.0,26.2416,79.52,8.7472
130,First Class,Corporate,Columbus,Ohio,43229,East,Technology,Phones,59.97,5,0.4,-11.994000000000002,11.994,-2.3988000000000005
131,First Class,Corporate,Columbus,Ohio,43229,East,Office Supplies,Paper,78.304,2,0.2,29.364,39.152,14.682
132,First Class,Corporate,Columbus,Ohio,43229,East,Office Supplies,Fasteners,21.456,9,0.2,6.9732,2.384,0.7748
133,Standard Class,Consumer,Roseville,California,95661,West,Office Supplies,Paper,20.04,3,0.0,9.6192,6.68,3.2064
134,Standard Class,Consumer,Roseville,California,95661,West,Office Supplies,Paper,35.44,1,0.0,16.6568,35.44,16.6568
135,Standard Class,Consumer,Roseville,California,95661,West,Office Supplies,Art,11.52,4,0.0,3.4560000000000004,2.88,0.8640000000000001
136,Standard Class,Consumer,Roseville,California,95661,West,Office Supplies,Fasteners,4.02,2,0.0,1.9698,2.01,0.9849
137,Standard Class,Consumer,Roseville,California,95661,West,Office Supplies,Binders,76.176,3,0.2,26.6616,25.392,8.8872
138,Standard Class,Consumer,Roseville,California,95661,West,Office Supplies,Supplies,65.88,6,0.0,18.4464,10.979999999999999,3.0744000000000002
139,Standard Class,Consumer,Roseville,California,95661,West,Furniture,Furnishings,43.12,14,0.0,20.6976,3.0799999999999996,1.4784000000000002
140,Second Class,Corporate,Philadelphia,Pennsylvania,19140,East,Furniture,Furnishings,82.8,2,0.2,10.35,41.4,5.175
141,Standard Class,Corporate,San Francisco,California,94122,West,Office Supplies,Art,8.82,3,0.0,2.3814,2.94,0.7938000000000001
142,Standard Class,Corporate,San Francisco,California,94122,West,Office Supplies,Envelopes,10.86,3,0.0,5.1042,3.6199999999999997,1.7013999999999998
143,Standard Class,Corporate,San Francisco,California,94122,West,Office Supplies,Paper,143.7,3,0.0,68.976,47.9,22.992
144,Standard Class,Consumer,Independence,Missouri,64055,Central,Office Supplies,Appliances,839.43,3,0.0,218.2518,279.81,72.7506
145,Standard Class,Consumer,Pasadena,California,91104,West,Office Supplies,Storage,671.93,7,0.0,20.1579,95.99,2.8797
146,Standard Class,Home Office,Newark,Ohio,43055,East,Furniture,Furnishings,93.88799999999999,4,0.2,12.9096,23.471999999999998,3.2274
147,Standard Class,Corporate,Franklin,Wisconsin,53132,Central,Technology,Phones,384.45,11,0.0,103.8015,34.949999999999996,9.4365
148,Standard Class,Corporate,Franklin,Wisconsin,53132,Central,Technology,Phones,149.97,3,0.0,5.9988,49.99,1.9996
149,Standard Class,Corporate,Franklin,Wisconsin,53132,Central,Furniture,Chairs,1951.84,8,0.0,585.552,243.98,73.194
150,Standard Class,Corporate,Franklin,Wisconsin,53132,Central,Office Supplies,Binders,171.55,5,0.0,80.6285,34.31,16.125700000000002
151,First Class,Home Office,Scottsdale,Arizona,85254,West,Office Supplies,Appliances,157.92,5,0.2,17.766,31.583999999999996,3.5531999999999995
152,First Class,Home Office,Scottsdale,Arizona,85254,West,Technology,Phones,203.18400000000003,2,0.2,15.2388,101.59200000000001,7.6194
153,First Class,Corporate,San Jose,California,95123,West,Office Supplies,Paper,58.38,7,0.0,26.271,8.34,3.753
154,First Class,Corporate,San Jose,California,95123,West,Office Supplies,Paper,105.52,4,0.0,48.5392,26.38,12.1348
155,First Class,Corporate,San Jose,California,95123,West,Office Supplies,Storage,80.88,6,0.0,21.0288,13.479999999999999,3.5048
156,Standard Class,Home Office,Seattle,Washington,98105,West,Office Supplies,Art,6.63,3,0.0,1.7901,2.21,0.5967
157,Second Class,Consumer,Seattle,Washington,98115,West,Furniture,Chairs,457.56800000000004,2,0.2,51.4764,228.78400000000002,25.7382
158,Standard Class,Consumer,Edmond,Oklahoma,73034,Central,Office Supplies,Labels,14.62,2,0.0,6.8714,7.31,3.4357
159,Standard Class,Consumer,Edmond,Oklahoma,73034,Central,Technology,Phones,944.93,7,0.0,236.2325,134.98999999999998,33.747499999999995
160,First Class,Consumer,Los Angeles,California,90045,West,Office Supplies,Paper,5.98,1,0.0,2.6910000000000003,5.98,2.6910000000000003
161,Second Class,Consumer,Philadelphia,Pennsylvania,19134,East,Technology,Accessories,54.38399999999999,2,0.2,1.3596,27.191999999999997,0.6798
162,Standard Class,Consumer,Carlsbad,New Mexico,88220,West,Office Supplies,Envelopes,28.4,5,0.0,13.347999999999999,5.68,2.6696
163,Standard Class,Consumer,Seattle,Washington,98115,West,Office Supplies,Binders,27.68,2,0.2,9.687999999999999,13.84,4.843999999999999
164,Standard Class,Consumer,San Antonio,Texas,78207,Central,Office Supplies,Art,9.936,3,0.2,2.7324,3.312,0.9108
166,Standard Class,Consumer,San Antonio,Texas,78207,Central,Office Supplies,Storage,275.928,3,0.2,-58.6347,91.976,-19.544900000000002
167,Standard Class,Consumer,San Antonio,Texas,78207,Central,Furniture,Chairs,1740.06,9,0.3,-24.858,193.34,-2.762
168,Standard Class,Consumer,San Antonio,Texas,78207,Central,Office Supplies,Art,32.064,6,0.2,6.8136,5.344,1.1356
169,Standard Class,Consumer,San Antonio,Texas,78207,Central,Office Supplies,Appliances,177.98,5,0.8,-453.849,35.596,-90.7698
170,Standard Class,Consumer,San Antonio,Texas,78207,Central,Technology,Phones,143.976,3,0.2,8.9985,47.992,2.9995
171,Standard Class,Consumer,Los Angeles,California,90004,West,Office Supplies,Paper,20.94,3,0.0,9.8418,6.98,3.2805999999999997
172,Standard Class,Consumer,Los Angeles,California,90004,West,Office Supplies,Paper,110.96,2,0.0,53.2608,55.48,26.6304
173,Standard Class,Consumer,Los Angeles,California,90004,West,Furniture,Chairs,340.144,7,0.2,21.259,48.592,3.037
174,Standard Class,Corporate,Chicago,Illinois,60623,Central,Office Supplies,Appliances,52.448,2,0.8,-131.12,26.224,-65.56
175,Standard Class,Corporate,Chicago,Illinois,60623,Central,Office Supplies,Labels,20.16,4,0.2,6.5520000000000005,5.04,1.6380000000000001
176,Second Class,Consumer,Houston,Texas,77036,Central,Office Supplies,Appliances,97.264,4,0.8,-243.16,24.316,-60.79
177,Second Class,Consumer,Newark,Ohio,43055,East,Furniture,Chairs,396.80199999999996,7,0.3,-11.3372,56.68599999999999,-1.6196
178,Second Class,Consumer,Newark,Ohio,43055,East,Office Supplies,Supplies,15.88,5,0.2,-3.7715,3.176,-0.7543
179,Standard Class,Home Office,New York City,New York,10009,East,Office Supplies,Art,3.28,1,0.0,1.4104,3.28,1.4104
180,Second Class,Corporate,Decatur,Illinois,62521,Central,Office Supplies,Storage,24.816,2,0.2,1.8612,12.408,0.9306
181,Second Class,Corporate,Decatur,Illinois,62521,Central,Technology,Accessories,408.744,7,0.2,76.6395,58.392,10.9485
182,Second Class,Home Office,Monroe,Louisiana,71203,South,Technology,Phones,503.96,4,0.0,131.0296,125.99,32.7574
183,Second Class,Home Office,Monroe,Louisiana,71203,South,Technology,Phones,149.95,5,0.0,41.986000000000004,29.99,8.397200000000002
184,Second Class,Home Office,Monroe,Louisiana,71203,South,Technology,Accessories,29.0,2,0.0,7.25,14.5,3.625
185,Standard Class,Consumer,Fairfield,Connecticut,6824,East,Office Supplies,Binders,7.16,2,0.0,3.4368,3.58,1.7184
186,Standard Class,Home Office,Los Angeles,California,90032,West,Technology,Accessories,176.8,8,0.0,22.984,22.1,2.873
187,Standard Class,Corporate,Grand Prairie,Texas,75051,Central,Office Supplies,Storage,37.224000000000004,3,0.2,3.7224,12.408000000000001,1.2408
188,Standard Class,Corporate,Grand Prairie,Texas,75051,Central,Office Supplies,Paper,20.016,3,0.2,6.255,6.672,2.085
189,First Class,Home Office,New York City,New York,10035,East,Furniture,Bookcases,899.1360000000001,4,0.2,112.39200000000001,224.78400000000002,28.098000000000003
190,First Class,Home Office,New York City,New York,10035,East,Technology,Phones,71.76,6,0.0,20.0928,11.96,3.3488
191,First Class,Home Office,New York City,New York,10035,East,Office Supplies,Paper,51.84,8,0.0,24.8832,6.48,3.1104
192,First Class,Home Office,New York City,New York,10035,East,Furniture,Bookcases,626.352,3,0.2,46.9764,208.784,15.6588
193,First Class,Home Office,New York City,New York,10035,East,Office Supplies,Art,19.9,5,0.0,6.567,3.9799999999999995,1.3134000000000001
194,Standard Class,Corporate,Redlands,California,92374,West,Office Supplies,Envelopes,14.28,7,0.0,6.7116,2.04,0.9588
195,Standard Class,Consumer,Hamilton,Ohio,45011,East,Office Supplies,Art,7.4079999999999995,2,0.2,1.2038,3.7039999999999997,0.6019
196,Standard Class,Consumer,Hamilton,Ohio,45011,East,Office Supplies,Art,6.047999999999999,3,0.2,1.5876,2.0159999999999996,0.5292
197,Standard Class,Home Office,Westfield,New Jersey,7090,East,Office Supplies,Storage,46.26,3,0.0,12.0276,15.42,4.0092
198,Standard Class,Corporate,Philadelphia,Pennsylvania,19120,East,Office Supplies,Binders,2.946,2,0.7,-2.2586,1.473,-1.1293
199,Standard Class,Corporate,Philadelphia,Pennsylvania,19120,East,Office Supplies,Paper,16.055999999999997,3,0.2,5.8203,5.351999999999999,1.9401
200,Standard Class,Consumer,Akron,Ohio,44312,East,Office Supplies,Paper,21.744,3,0.2,6.795,7.248,2.265
201,First Class,Consumer,Denver,Colorado,80219,West,Furniture,Tables,218.75,2,0.5,-161.875,109.375,-80.9375
202,First Class,Consumer,Denver,Colorado,80219,West,Office Supplies,Appliances,2.6,1,0.2,0.2925,2.6,0.2925
203,Second Class,Consumer,Dallas,Texas,75220,Central,Office Supplies,Appliances,66.28399999999999,2,0.8,-178.9668,33.141999999999996,-89.4834
204,Standard Class,Corporate,Franklin,Tennessee,37064,South,Furniture,Furnishings,35.168,7,0.2,9.6712,5.024,1.3816000000000002
205,Standard Class,Consumer,Whittier,California,90604,West,Technology,Phones,444.76800000000003,4,0.2,44.4768,111.19200000000001,11.1192
206,Standard Class,Consumer,Saginaw,Michigan,48601,Central,Office Supplies,Storage,83.92,4,0.0,5.8744,20.98,1.4686
207,Standard Class,Consumer,Saginaw,Michigan,48601,Central,Technology,Phones,131.98,2,0.0,35.6346,65.99,17.8173
208,Standard Class,Consumer,Saginaw,Michigan,48601,Central,Office Supplies,Binders,15.92,4,0.0,7.4824,3.98,1.8706
209,Standard Class,Consumer,Saginaw,Michigan,48601,Central,Office Supplies,Fasteners,52.29,9,0.0,16.2099,5.81,1.8011000000000001
210,Standard Class,Consumer,Saginaw,Michigan,48601,Central,Office Supplies,Storage,91.99,1,0.0,3.6796,91.99,3.6796
211,Second Class,Corporate,Dallas,Texas,75220,Central,Technology,Accessories,20.8,2,0.2,6.5,10.4,3.25
212,Standard Class,Corporate,Medina,Ohio,44256,East,Office Supplies,Labels,23.68,2,0.2,8.88,11.84,4.44
213,Standard Class,Corporate,Medina,Ohio,44256,East,Furniture,Bookcases,452.45,5,0.5,-244.32299999999998,90.49,-48.864599999999996
214,Standard Class,Corporate,Medina,Ohio,44256,East,Technology,Phones,62.982,3,0.4,-14.6958,20.994,-4.8986
216,Standard Class,Corporate,Medina,Ohio,44256,East,Technology,Accessories,89.584,2,0.2,4.4792,44.792,2.2396
